profile	stage_name	full_name	korean_name	korean_stage_name	date_of_birth	group	country	second_country	height	weight	birthplace	other_group	former_group	gender	position	instagram	twitter
	Areum	Kim Daun	김다운	아름	1998-01-31	AREAL	South Korea		0	0			Rose Finger	F			
	Ari	Kim Sunyoung	김선영	아리	1994-10-23	Tahiti	South Korea		0	0	Daegu			F			
	Ari	Hwang Nayoon	황나윤	아리	1999-03-30	RedSquare	South Korea		0	0	Seoul		Good Day	F	Vocalist		
	Arie	Jeon Minjae	전민재	아리	2000-04-07	MIXX	South Korea		163	45				F			
Profile	Arin	Choi Yewon	최예원	아린	1999-06-18	Oh My Girl	South Korea		163	47	Busan			F			
	Aron	Kwak Youngmin	곽영민	아론	1993-05-21	NU'EST	South Korea	USA	0	0	California	NU'EST W		M			
	Arthur	Jang Yunho	장윤호	아서	2000-04-15	Kingdom	South Korea		176	57			VARSITY	M			
	Asahi	Hanada Asahi	하나다 아사히	아사히	2001-08-20	Treasure	Japan		0	0				M			
	Ashley	Ashley Choi	애슐리 최	애슐리	1991-11-09	Ladies' Code	South Korea	USA	0	0	Incheon			F			
	Aurora	Yang Lan	양안	오로라	1997-01-14	NATURE	China		0	0				F			
	Avin	Park Donghyun	박동혁	어빈	1999-12-18	ENOi	South Korea		178	61				M			
	Ayamy	Suzuki Ayami	스즈키 아야미	아야미	2000-07-15	Bling Bling	Japan		0	0				F			
	Ayeon	Son Minji	손민지	아연	2002-09-29	Saturday	South Korea		162	47				F			
	Ayno	Noh Yoonho	노윤호	에이노	1996-05-01	VAV	South Korea		183	61				M			
Profile	B-Bomb	Lee Minhyuk	이민혁	비범	1990-12-14	Block B	South Korea		178	60	Seoul	Bastarz		M			
	B-Joo	Kim Byungjoo	김병주	비주	1994-01-08	Topp Dogg	South Korea		0	0	Seoul			M			
	B.I	Kim Hanbin	김한빈	비아이	1996-10-22		South Korea		0	0	Goyang		iKON	M			
	B.S	Lee Youngsoo	이영수	비에스	1995-04-14	14U	South Korea		0	0				M			
Profile	Babysoul	Lee Soojung	이수정	베이비소울	1992-07-06	Lovelyz	South Korea		158	41	Gwangju			F	Leader		
	Bada	Kim Bada	김바다	바다	2002-05-28	Hinapia	South Korea		162	49				F			
Profile	Baekah	Kim Sua	김수아	백아	1999-10-24	XUM	South Korea		0	0			NeonPunch	F		sunghyuk_seo	
	Baekgyeul	Baek Sunwoo	백결	백선우	1999-12-01	E'LAST	South Korea		180	61				M			
	Baekho	Kang Dongho	강동호	백호	1995-07-21	NU'EST	South Korea		0	0	Jeju	NU'EST W		M			
	Baekhyun	Byun Baekhyun	변백현	백현	1992-05-06	EXO	South Korea		174	58	Wonmi	EXO-CBX, SuperM		M			
Profile	BamBam	Kunpimook Bhuwakul	꾼삐묵 부와꾼	뱀뱀	1997-05-02	GOT7	Thailand		170	52	Bangkok			M			
Profile	Bang Chan	Bang Chan	방찬	방찬	1997-10-03	Stray Kids	Australia	South Korea	0	0	Sydney	3RACHA		M			
Profile	Baro	Cha Sunwoo	차선우	바로	1992-09-05		South Korea		178	63	Gwangju		B1A4	M			
	Baron	Choi Chunghyeop	최충협	바론	1992-04-19	VAV	South Korea		180	60				M			
	BC	Jin Sungho	진성호	비시	1994-07-18	1TEAM	South Korea		0	0				M			
	Bekah	Rebecca Kim	김레베카	베카	1989-08-11		South Korea	USA	0	0	Honolulu		After School	F			
	BEL	Choi Sunghoon	최성훈	벨	2000-05-21	DUSTIN	South Korea		0	0				M			
Profile	Bella	Choi Yuna	최윤아	벨라	1999-02-02	ELRIS	South Korea		0	0				F			
	Belle	Jin Hyeonjoo	진현주	벨	2001-11-03	Cignature	South Korea		0	0	Goyang		Good Day	F			
	Benji	Baek Jaewook	배제욱	벤지	1992-05-03	B.I.G	USA	South Korea	183	72	Indianapolis			M			
Profile	Beomgyu	Choi Beomgyu	최범규	범규	2001-03-13	TXT	South Korea		0	0				M			
	Bian	Yu Jiwon	유지원	비안	2001-02-13	MAJORS	South Korea		0	0			ANS	F			
	BIBI	Kim Hyungseo	김형서	비비	1998-09-27		South Korea		0	0				F			
	Bic	Nam Seungmin	남승민	빅	2001-04-25	MCND	South Korea		0	0				M			
	Bin	Kwon Soobin	김수빈	빈	1993-10-28	Hot Blood Youth	South Korea		0	0				M			
Profile	Binnie	Bae Yubin	배유빈	비니	1997-09-09	Oh My Girl	South Korea		161	49	Chuncheon			F			
	Bit	No Minjae	노민재	빛	2004-07-21	BAE173	South Korea		0	0				M			
	Bitsaeon	Kim Sangyeon	김상연	빛새온	1995-06-04	MONT	South Korea		181	60				M			
	Bitto	Lee Changhyun	이창현	비토	1996-08-24	UP10TION	South Korea		0	0	Dongducheon			M			
	Blue	Jung Gahee	정가희	파랑	1994-01-18	Pungdeng-E	South Korea		161	0	Gwangju			F			
Profile	BM	Matthew Kim	매튜김	비엠	1992-10-20	KARD	South Korea		0	0				M			
	BoA	Kwon Boa	권보아	보아	1986-11-05		South Korea		0	0	Guri			F		boakwon	
	Boa	Kim Boah	김보아	보아	1987-01-14	KEEMBO	South Korea		0	0			SPICA	F			
	Bobby	Kim Jiwon	김지원	바비	1995-12-21	iKON	South Korea	USA	0	0	Seoul			M			
	Bohyung	Kim Bohyung	김보형	보형	1991-03-31	KEEMBO	South Korea		0	0		SPICA-S	SPICA	F			
	Bokeun	Kim Bokeun	김복은	복은	1994-10-12	SIGNAL	South Korea		0	0				M			
	Bom	Park Bom	박봄	봄	1984-03-24	2NE1	South Korea		0	0				F		haroobommi	
Profile	Bomi	Yoon Bomi	윤보미	보미	1993-09-13	Apink	South Korea		163	0	Suwon			F			
	Bomin	Choi Bomin	최보민	보민	2000-08-24	Golden Child	South Korea		0	0				M			
	Bomin	Kim Bomin	김보민	보민	2001-09-24	RedSquare	South Korea		0	0	Gwangju		Good Day	F	Dancer		
Profile	Bona	Kim Jiyeon	김지연	보나	1995-08-19	Cosmic Girls	South Korea		163	0	Daegu	WJSN The Black		F			
	Boni	Choi Euijeong	최의정	보니	1999-10-30	Dreamnote	South Korea		160	45				F			
	Bora	Yoon Bora	윤보라	보라	1989-12-30	SISTAR	South Korea		0	0		SISTAR19		F		borabora_sugar	
Profile	Bora	Kim Bora	김보라	보라	1999-03-03	Cherry Bullet	South Korea		0	0				F			
Profile	Boram	Jeon Boram	전보람	보람	1986-03-22	T-ara	South Korea		155	45	Seoul			F		bo_ram_0322	
	Bullet	Jin Junwoo	진준우	블릿	1995-12-02	VARSITY	South Korea		182	65	Seoul			M			
Profile	BX	Lee Byounggon	이병곤	비엑스	1998-03-05	CIX	South Korea		180	61	Incheon			M	Leader, Main Rapper		
	Byungchan	Choi Byungchan	최병찬	병찬	1997-11-12	VICTON	South Korea		0	0				M			
	C.A.P	Bang Minsoo	방민수	캡	1992-11-04	Teen Top	South Korea		0	0	Seongnam			M			
	Cao Lu	Cao Lu	차오루	차오루	1987-08-30	Fiestar	China		166	0	Zhangjiajie			F		better_me_lulu	
	Casper	Chu Xiaoxiang	저효상	캐스퍼	1991-03-20	CROSS GENE	China		176	66	Shanghai			M			
	Castle J	Son Sangjoon	손성준	캐슬제이	1999-05-31	MCND	South Korea		0	0				M			
	Cha Hoon	Cha Hoon	차훈	차훈	1994-07-12	N.Flying	South Korea		0	0	Seoul			M	Guitar		
	Chaea	Kim Chaeyoung	김채영	체리	1997-07-05	RedSquare	South Korea		0	0	Gunsan		Good Day	F	Vocalist, Main Dancer		
	Chaebin	Choi Yoobin	최유빈	채빈	1999-07-28	NATURE	South Korea		0	0				F			
	Chaehyun	Kim Chaehyun	김채현	채현	1999-11-29	Bonus Baby	South Korea		163	0				F			
	Chaein	Lee Chaeyoung	이채영	채인	2002-12-05	Purple Kiss	South Korea		0	0				F			
	Chaejin	Chae Jinseok	채진석	채진	1995-12-26	MYNAME	South Korea		0	0	Seoul			M			
Profile	Chaekyung	Yoon Chaekyung	윤채경	채경	1996-07-07	APRIL	South Korea		160	45	Incheon	C.I.V.A, I.B.I	Puretty	F			
	Chaelin	Lee Chaelin	이채린	채린	1999-10-20	FANATICS	South Korea		162	47				F			
Profile	Chaerin	Park Chaerin	박채린	채린	2002-03-13	Cherry Bullet	South Korea		0	0				F			
Profile	Chaeryeong	Lee Chaeryeong	이채령	채령	2001-06-05	ITZY	South Korea		0	0				F			
	Chaesol	Maeng Chaesol	맹채솔	채솔	1998-07-14	Cignature	South Korea		0	0	Yeosu		Good Day	F			
Profile	Chaewon	Kim Chaewon	김채원	채원	1997-11-08	APRIL	South Korea		0	0	Gongju			F			
Profile	Chaewon	Kim Chaewon	김채원	채원	2000-08-01	IZ*ONE	South Korea		0	0	Seoul			F			
	Chaewon	Lee Chaewon	이채원	채원	2000-03-18	Maka Maka	South Korea		0	0				F			
	ChaeY	Song Chaeyeon	송채연	채이	2003-01-06	CRAXY	South Korea		0	0				F			
Profile	Chaeyeon	Jung Chaeyeon	정채연	채연	1997-12-01	DIA	South Korea		165	49	Suncheon	I.O.I		F			
	Chaeyeon	Kim Chaeyeon	김채연	채연	2004-12-04	Busters	South Korea		0	0				F			
Profile	Chaeyeon	Lee Chaeyeon	이채연	채연	2000-01-11	IZ*ONE	South Korea		0	0	Yongin			F			
Profile	Chaeyoung	Son Chaeyoung	손채영	채영	1999-04-23	Twice	South Korea		159	0	Seoul			F			
Profile	Chaeyoung	Lee Chaeyoung	이채영	채영	2000-05-14	fromis_9	South Korea		0	0	Pohang			F			
Profile	Chahee	Park Sooyoung	박수영	차희	1996-03-24	MELODYDAY	South Korea		167	0				F	Sub Vocalist	hichaheebye	
	Chan	Jung Chanwoo	정찬우	찬	1998-01-26	iKON	South Korea		0	0	Yongin			M			
	Chan	Kang Yoochan	강유찬	찬	1997-12-31	A.C.E	South Korea		0	0	Jeju	UNB		M			
	Chan	Jo Chanhyuk	조찬혁	찬	1999-12-08	TOO	South Korea		0	0				M			
Profile	Changbin	Seo Changbin	서창빈	창빈	1999-08-11	Stray Kids	South Korea		0	0	Yongin	3RACHA		M			
	Changbum	Woo Changbum	우창범	창범	1993-10-07		South Korea		0	0	Sokcho		100%	M			
	Changgyu	Song Changgyu	송창규	창규	1993-07-06	UNVS	South Korea		0	0				M			
	Changjo	Choi Jonghyun	최종현	창조	1995-11-16	Teen Top	South Korea		0	0	Chuncheon			M			
	Changsub	Lee Changsub	이창섭	창섭	1991-02-26	BtoB	South Korea		177	64	Suwon			M			
	Changsun	Lee Changsun	이창선	창선	1996-03-17	24K	South Korea		179	58				M			
	Changuk	Joo Changuk	주창욱	창욱	2001-07-25	DRIPPIN	South Korea		184	59				M			
	Chani	Kang Chanhee	강찬희	찬희	2000-01-17	SF9	South Korea		0	0				M			
Profile	Chanmi	Kim Chanmi	김찬미	찬미	1996-06-19	AoA	South Korea		166	47	Gumi			F		chanmi_96a	
	Chansung	Hwang Chansung	황찬성	찬성	1990-02-11	14:00	South Korea		184	75	Seoul			M			
	Chanyeol	Park Chanyeol	박찬열	찬열	1992-11-27	EXO	South Korea		185	70	Seoul			M			
	Chanyong	Kim Chanyong	김찬용	찬용	1993-04-29	100%	South Korea		0	0	Suwon			M			
	Chanyoung	Kim Chanyoung	김찬영	찬영	2000-11-20	D-CRUNCH	South Korea		0	0				M			
	Chen	Kim Jongdae	김종대	첸	1992-09-21	EXO	South Korea		173	64	Silheung	EXO-CBX		M			
Profile	Cheng Xiao	Cheng Xiao	청샤오	성소	1998-07-15	Cosmic Girls	China		167	0	Shenzhen			F		chengxiao_0715	
	Chenle	Zhong Chenle	중천러	천러	2001-11-22	NCT	China		0	0	Shanghai	NCT Dream		M			
	Cheongeum	Jang Cheongeum	장청음	청음	1996-06-19	Ho1iday	South Korea		0	0				F			
	Chiayi	Li Chiayi	지아이	지아이	2000-01-22	FANATICS	Taiwan		164	0		FANATICS FLAVOR		F			
	Chihoon	Choi Chihoon	최치훈	치훈	1999-04-27	TOO	South Korea		0	0				M			
	Chiwoo	Guk Seungjun	국승준	치우	2002-09-02	Kingdom	South Korea		0	0				M			
Profile	Choa	Park Choa	박초아	초아	1990-03-06		South Korea		160	42	Incheon		AoA, AOA BLACK	F		queenchoa_	
	Choa	Heo Minjin	허민진	초아	1990-07-12	Crayon Pop	South Korea		161	0	Seoul			F			
Profile	Choerry	Choi Yerim	최예림	최리	2001-06-04	LOONA	South Korea		0	0		Loona Odd Eye Circle		F			
	Choi In	Choi In	최인	최인	1996-02-11	E'LAST	South Korea		170	50				M			
	Choi Jiann	Choi Jaewoo	최재우	최지안	1997-09-30	Newkidd	South Korea		175	0				M			
Profile	Chorong	Park Chorong	박초롱	초롱	1991-03-03	Apink	South Korea		165	0	Chungwongoon			F		mulgokizary	
	Chowon	Han Chowon	한초원	초원	2002-09-16	LIGHTSUM	South Korea		168	50	Seoul			F			
	Chris	Han Chris	한 크리스	크리스	2002-11-19	BLITZERS	South Korea		0	0				M			
	Chungha	Kim Chungha	김청하	청하	1996-02-09		South Korea		0	0	Dallas		I.O.I	F			
	Chunji	Lee Chanhee	이찬희	천지	1993-10-05	Teen Top	South Korea		0	0	Seongnam			M			
Profile	Chuu	Kim Jiwoo	김지우	츄	1999-10-20	LOONA	South Korea		0	0	Cheongju	Loona yyxy		F			
	CL	Lee Chaerin	이채린	씨엘	1991-02-26	2NE1	South Korea		0	0				F		chaelincl	
Profile	CNU	Shin Dongwoo	신동우	신우	1991-06-16	B1A4	South Korea		182	64	Seoul			M			
	Cory	Hong Joohyung	홍주현	코리	1990-11-25	24K	South Korea	USA	175	58	Daegu			M			
	Cui Xiang	Cui Xiang	최상	최상	1995-01-26	BOTOPASS	China		0	0			ILUV	F			
	Cya	Lee Giwook	이기욱	키야	2000-01-24	Onewe	South Korea		0	0			MAS	M			
Profile	D.ana	Cho Eunae	조은애	디애나	1995-09-10	Sonamoo	South Korea		170	0	Seoul			F	Rapper		SONAMOO_Dana
	D.O.	Do Kyungsoo	도경수	디오	1993-01-12	EXO	South Korea		173	60	Gyeonggi			M			
	D1	Jang Dongil	장동일	디원	1998-02-15	DKB	South Korea		174	59				M			
	Dabi	Park Jiwon	박지원	다비	2000-01-19	AREAL	South Korea		0	0			MIDNIGHT	F			
	Daehwi	Lee Daehwi	이대휘	대휘	2001-01-29	AB6IX	South Korea		0	0	Seoul		Wanna One	M			
	Daehyeon	Jang Daehyeon	장대현	대현	1997-02-11	WEi	South Korea		175	0			RAINZ	M		daehyeon0211	
Profile	Daehyun	Jung Daehyun	정대현	대현	1993-06-28	B.A.P	South Korea		177	63	Busan			M			
	Daeil	Kim Daeil	김대일	대일	1992-05-10		South Korea		0	0	Busan		24K	M			
	Daesung	Daesung	강대성	대성	1989-04-26	BIGBANG	South Korea		178	63	Incheon			M			
	Daeun	Jung Daeun	정다은	정다은	1994-06-03	2EYES	South Korea		161	0	Bucheon			F		da.ni_jung	
	Daewang Nim	Daewang Nim	대왕님	대왕님	1996-04-08	Pink Fantasy	South Korea		162	49				F			
	Daeyeol	Lee Daeyeol	이대열	대열	1993-02-11	Golden Child	South Korea		0	0	Yongin			M			
Profile	Daeyeon	Hwang Da Kyeon	황연경	다연	1995-11-17	XUM	South Korea		0	0			NeonPunch	F		sunghyuk_seo	
	Dahye	Song Dahye	송다혜	다혜	1993-06-12		South Korea		0	0			EXID, BESTie	F		dahye0612	
Profile	Dahyun	Kim Dahyun	김다현	다현	1998-05-28	Twice	South Korea		165	0	Seongnam			F			
	Dahyun	Jeong Dahyun	정다현	다현	2005-04-29	Rocket Punch	South Korea		160	0				F			
	Dain	Song Jieun	송지은	다인	1990-06-25		South Korea		0	0			Wassup	F			
	Dain	Jung Dain	정다인	다인	2004-12-15	HOT ISSUE	South Korea		0	0				F			
Profile	Daisy	Yoo Jeongahn	유정안	데이지	1999-01-22		South Korea		0	0	Seoul		MOMOLAND	F			
	Dajeong	Kim Dajeong	김다정	다정	1995-08-08	Hashtag	South Korea		170	0	Gwangju			F			
	Dajeong	Jung Dajeong	정다정	다정	2003-07-31	Pixy	South Korea		157	42				F			
	Dalyn	Lee Sohyun	이소현	달린	1999-08-27	ANS	South Korea		0	0				F			
Profile	Dami	Lee Yoobin	이유빈	다미	1997-03-07	Dreamcatcher	South Korea		163	0	Seoul		Minx	F			
	Dami	Hong Dayoung	홍다영	담이	2001-06-07	ANS	South Korea		0	0				F			
	Damon	Hu Boohan	후보한	데이먼	1996-07-02	VARSITY	China		181	0				M			
	Dan-a	Park Seungyeon	박승연	단아	1993-06-26	Matilda	South Korea		0	160				F			
	Dana	Jang Dana	장다나	다나	2003-12-25	HOT ISSUE	South Korea		0	0				F			
	Daniel	Kang Daniel	강다니엘	다니엘	1996-12-10	Wanna One	South Korea		0	0	Busan			M			
	Dann	Jung Seungbo	정승보	단	1997-11-01	Kingdom	South Korea		178	0	Ilsan		VARSITY	M			
	Dany	Jeon Eunji	전은지	다니	1998-01-20	Ho1iday	South Korea		0	0				F			
	Daon	Ahn Seonil	안선일	다온	2000-12-10	DUSTIN	South Korea		0	0				M			
	Dara	Park Sandara	박산다라	다라	1984-11-12	2NE1	South Korea		0	0				F		daraxxi	
	Daseul	Yang Daseul	양다슬	다슬	2000-09-14	Maka Maka	South Korea		0	0				F			
	Dasom	Kim Dasom	김다솜	다솜	1993-05-06	SISTAR	South Korea		0	0				F		som0506	
	Dasom	Lee Dasom	이다솜	다솜	1993-11-13	2EYES	South Korea		164	0	Cheongju			F			
Profile	Dawon	Nam Dawon	남다원	다원	1997-03-16	Cosmic Girls	South Korea		167	0	Seoul			F			
	Dawon	Lee Sanghyuk	이상혁	다원	1995-07-24	SF9	South Korea		0	0				M			
	Dawon	Cho Dawon	조다원	다원	2000-05-12	VARSITY	South Korea		183	69				M			
	Dawon	Lee Dawon	이다원	다원	1996-12-02	ARIAZ	South Korea		0	0				F			
	Daye	Kim Hyunjung	김현정	다예	1998-02-25	Berry Good	South Korea		167	0				F			
	Dayoung	Kim Dayoung	김다영	다영	1991-02-02	Blady	South Korea		0	0	Jeonju			F		loloola22_	
Profile	Dayoung	Im Dayoung	임다영	다영	1999-05-14	Cosmic Girls	South Korea		161	0	Jeju	WJSN Chocome		F			
	Dayun	Kim Dayun	김다윤	다윤	2000-11-20	Bonus Baby	South Korea		164	0				F			
	Della	Park Sehyun	박세현	델라	1995-09-03	Rockit Girl	South Korea		0	0				F			
	Denise	Kim Denise	김데니스	데니스	2001-01-11	SECRET NUMBER	South Korea	USA	0	0				F			
	Dia	Kwak Minnyeong	곽민녕	디아	1999-09-03	Maka Maka	South Korea		0	0				F			
	Dia	Choi Eunji	최은지	디아	2001-07-16	Pixy	South Korea		165	0				F			
Profile	Dino	Lee Chan	이찬	디노	1999-02-11	Seventeen	South Korea		167	54	Iksan			M			
	Dita	Dita Karang	디타 가랑	디타	1996-12-25	SECRET NUMBER	Indonesia		0	0	Yogyakarta			F			
Profile	DK	Lee Seongmin	이석민	도겸	1997-02-18	Seventeen	South Korea		178	68	Yongin			M			
	DK	Kim Donghyuk	김동혁	디케이	1997-01-03	iKON	South Korea		0	0				M			
	Doah	Kim Doah	김도아	도아	2003-12-04	FANATICS	South Korea		163	42		FANATICS FLAVOR		F			
	Doha	Na Gyumin	나규민	도하	2004-03-07	BAE173	South Korea		0	0				M			
	Dohee	Yoon Dohee	윤도희	도희	1999-09-24		South Korea		0	0			NeonPunch	F			
	Dohwan	Gil Dohwan	길도환	도환	2003-08-26	Ciipher	South Korea		175	61				M			
	Dohyon	Nam Dohyon	남도현	도현	2004-11-10	BAE173	South Korea		180	62			X1	M			
	Dohyuk	Kim Dohyuk	김도혁	도혁	1998-01-16	14U	South Korea		0	0				M			
	Doi	Kim Doi	김도이	도이	1994-04-12	FANATICS	South Korea		170	0				F			
	Dojin	Jeon Yongtae	전용태	도진	1997-03-07	ENOi	South Korea		181	61				M			
	Dokyun	Na Dokyun	나도균	도균	1991-02-11	HISTORY	South Korea		184	65	Daejeon			M			
	Donggeon	Song Donggeon	송동건	동건	1999-07-15	TOO	South Korea		0	0				M			
	Donghae	Lee Donghae	이동해	동해	1986-10-15	Super Junior	South Korea		176	60	Mokpo	Super Junior-M		M			
	Donghan	Kim Donghan	김동한	동한	1998-07-03	WEi	South Korea		0	0	Daegu		JBJ	M			
	Dongheon	Lee Dongheon	이동헌	동헌	1995-08-04	Verivery	South Korea		0	0				M			
	Donghun	Lee Donghun	이동훈	동훈	1993-05-15	A.C.E	South Korea		0	0	Suncheon			M			
	Donghyun	Kim Donghyun	김동현	동현	1989-02-12	Boyfriend	South Korea		178	60	Seoul			M			
	Donghyun	Kim Donghyun	김동현	동현	1999-02-23	Golden Child	South Korea		0	0				M			
	Donghyun	Kim Donghyun	김동현	동현	1998-09-17	AB6IX	South Korea		0	0	Daejeon	MXM		M			
	Dongjun	Kim Dongjun	김동준	동준	1992-02-11	ZE:A	South Korea		0	0	Busan			M			
	Dongjun	Hwang Dongjun	황동준	동준	1999-09-07	Ghost9	South Korea		0	0				M			
	Dongkyu	Moon Dongkyu	문동규	동규	1992-11-16	Spectrum	South Korea		0	0				M			
	Dongmyeong	Son Dongmyeong	곤동명	동명	2000-01-20	Onewe	South Korea		0	0			MAS	M			
	Dongpyo	Son Dongpyo	손동표	동표	2002-09-09	Mirae	South Korea		166	48			X1	M			
	Dongwan	Kim Dongwan	김동완	동완	1979-11-21	Shinhwa	South Korea		173	68	Pohang			M			
	Dongwon	Lee Dongwon	이동원	동원	1994-01-01	KNK	South Korea		184	0				M			
	Dongwoo	Jang Dongwoo	장동우	동우	1990-11-22	Infinite	South Korea		171	58	Guri	Infinite H		M			
	Dongwoon	Son Dongwoon	손동운	동운	1991-06-06	Highlight	South Korea		181	64	Busan		Beast	M			
	Dongyun	Kim Dongyun	김동윤	동윤	2002-02-18	DRIPPIN	South Korea		177	61				M			
	Doojoon	Yoon Doojoon	윤두준	두준	1989-07-04	Highlight	South Korea		177	66	Goyang		Beast	M	Leader		
	Dosie	Jang Eunseung	장은성	도시	2000-02-11	Purple Kiss	South Korea		0	0				F			
	Douhyun	Yoo Douhyun	유도현	도현	2000-12-25	Mirae	South Korea		0	0				M			
	Dowoon	Yoon Dowoon	윤도운	도운	1995-08-25	DAY6	South Korea		0	0				M	Drummer		
Profile	Doyeon	Kim Doyeon	김도연	도연	1999-12-04	Weki Meki	South Korea		0	0	Incheon	I.O.I, WJMK		F			
	Doyoung	Kim Dongyoung	김동영	도영	1996-02-01	NCT	South Korea		0	0	Guri	NCT U, NCT 127		M			
	Doyoung	Kim Doyoung	김도영	도영	2003-12-04	Treasure	South Korea		0	0				M			
Profile	Doyum	Jeon Doyum	전도염	도염	2002-02-21	1the9	South Korea		175	55	Daejeon			M			
	Dylan	Park Yeonjae	박연재	딜란	2002-07-26	D-CRUNCH	South Korea		0	0				M			
Profile	E'Dawn	Kim Hyojong	김효종	이던	1994-06-01		South Korea		0	0			PENTAGON	M			
	E-Chan	Lee Changmin	이창민	이찬	1997-02-19	DKB	South Korea		178	63				M			
	E-tion	Lee Changyoon	이창윤	이션	1994-12-24	ONF	South Korea		0	0	Jeonju			M			
	E-Young	Noh Yiyoung	노이영	이영	1992-08-16	After School	South Korea		0	0	Chuncheon			F		e_young0816	
	E.sol	Jeon Jaehyuk	전재혁	이솔	1992-09-17	14U	South Korea		0	0				M			
Profile	E:U	Park Jiwon	박지원	이유	1998-05-19	Everglow	South Korea		0	0				F			
	Eli	Ellison Kim	엘리슨 킴	일라이	1991-03-13	U-KISS	USA	South Korea	0	0	Los Angeles			M			
Profile	Elkie	Chong Ting Yan	쫑딩얀	엘키	1998-11-02		Hong Kong		163	45	Hong Kong		CLC	F			
Profile	Ella	Kim Kyungjoo	김경주	엘라	1998-03-26	Pixy	South Korea		0	0			Cherry Bullet	F			
	Ellin	Kim Minyoung	김민영	엘린	1990-04-02	Crayon Pop	South Korea		165	44	Daegu			F		hiellin	
Profile	Elly	Jung Haerim	정해림	엘리	1998-07-20	Weki Meki	South Korea		0	0				F			
	Ellyn	Bang Sunhee	방선희	엘린	2002-10-19	Girlkind	South Korea		0	170				F			
Profile	Eric	Son Youngjae	손영재	에릭	2000-12-22	The Boyz	South Korea		171	56				M			
	Eric	Moon Junghyuk	문정혁	에릭	1979-02-16	Shinhwa	South Korea		180	70	Seoul			M			
	Eseo	Noh Hyunjung	노현정	이서	1996-03-04	LUNARSOLAR	South Korea		161	0				F			
	Eson	Kim Jungmin	김정민	이슨	1996-12-28	We In The Zone	South Korea	USA	177	63	Honolulu			M	Leader		
	Euaerin	Lee Hyemin	이혜민	이유애린	1988-05-03		South Korea		174	48	Seoul		9Muses	F			
Profile	Euijin	Hong Euijin	홍의진	의진	1996-10-08	Sonamoo	South Korea		168	0	Gwangju	UNI.T		F			SONAMOO_EuiJin
	Euijin	Lee Euijin	이의진	의진	1990-02-15	Bigflo	South Korea		0	0	Seoul			M			
	Eun	Choi Eunmi	최은미	은	1990-05-14	Two X	South Korea		0	0				F			
	EunB	Shin Eunbi	신은비	은비	2000-09-17	Maka Maka	South Korea		0	0			Lip Bubble	F			
	EunB	Byun Eunbi	변은비	은비	2000-11-23	PRECIOUS	South Korea		164	49	Busan			F			
Profile	Eunbi	Kwon Eunbi	권은비	은비	1995-09-27	IZ*ONE	South Korea		0	0	Seoul			F			
